qso_name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
FBQ0951+2635,646884373278812544,147.8440394402732,0.35757780321142446,26.587233044361792,0.33347465528470105,1.0700298025539543,0.4500851774794971,2.377394,1.7582408452448481,0.6155768101257232,-1.2343362222779117,0.5314824946307004,-0.6222616,1.6121600561681322,0.05935648222617378,17.453747,17.44735,16.849447
FBQ0951+2635,646884373278373376,147.84431739542083,1.0123361763415002,26.587055858244906,0.4930980574305447,,,,,,,,,1.821857161257164,0.16127854398934816,19.114208,,
BRI0952-0115,3832692028832113024,148.75042774083335,1.2598864682401794,-1.5018229695162326,0.9013770841870753,-2.910062704689927,1.5694726306316045,-1.8541659,-1.0605812672860169,1.0073551165197856,-0.8633846391795169,1.1615349955957703,-0.27753845,1.6211025335397147,0.18370842792283498,19.67981,20.703264,18.291706
Q0957+561,1045166002126206720,150.3368233714326,0.048849997472224835,55.89709503101703,0.05174566530544343,0.06401148181034536,0.07719009059575437,0.8292707,0.08979848266028626,0.10111481616474735,-0.11920235205543214,0.10962193899873066,-0.06749845,1.6935942283588679,0.01384763865936082,16.8485,16.943405,16.367607
SDSS1001+5027,827031141513223936,150.36920716541647,0.07654816456149893,50.465800358845904,0.11572963609796964,-0.032073291452819765,0.12764204813502225,-0.25127527,-0.2835802543691307,0.1653752381565366,-0.022633234355323054,0.24423510420052372,-0.12885089,1.5868933437782886,0.02403680647506218,17.616686,17.773188,17.133728
SDSS1001+5027,827031897427468160,150.3681211756699,0.09386682421353691,50.46622857140866,0.13923808439190327,-0.35020332962515344,0.14792817855128493,-2.3673875,-0.35703633990306227,0.19673000926171133,0.8278515132866895,0.28826061843488604,-0.11715688,1.5757289670370689,0.028570129518880168,17.973177,18.24421,17.295755
SDSS1004+4112,806853178999388928,151.14503143566589,0.24711461787374991,41.210897932341894,0.3646082799353026,-0.3573911003392912,0.4660485801567285,-0.76685375,0.16054783751783697,0.5174473437122676,0.13842021483771683,0.6858620246129881,-0.6450247,1.5523473174582902,0.052347021446100775,19.207058,19.305538,18.608147
SDSS1004+4112,806853174703246208,151.14551708800565,0.25958316301796913,41.211878925342965,0.3323051188023608,0.702966870285391,0.5701217845997116,1.2330117,0.358594402057694,0.7366234953014491,-0.4577633597124572,1.092564257660614,-0.70962787,1.5960844447139755,0.061333340477813976,19.222275,19.220749,18.745613
LBQS1009-0252,3828696197422634112,153.0662826232801,0.19783552023737894,-3.1173503498437283,0.17809177832809944,-0.32287636603800685,0.23855018392915378,-1.3534945,0.25869486184114115,0.33710736756222337,0.16732923461003385,0.29994480674254587,-0.13765046,1.5921456499455982,0.056383224796353965,18.203823,18.383953,17.694157
LBQS1009-0252,3828696197419013248,153.06508703169808,0.43133805731799624,-3.1168988115133165,0.5214702269646905,-0.42245144257089007,0.49782129268111636,-0.84860057,-0.5137361011960334,0.7978894311262197,-0.7547898706434429,0.8948675998462671,-0.035996772,1.651839157851384,0.125369727324055,19.315813,19.52568,19.029305
